Artist,Art Name,Date,Image Thumbnail,artist,cloud prediction
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/55d05597-1004-41db-8609-34811c3e3711_size1,durand,St
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/55d05597-1004-41db-8609-34811c3e3711_size1,durand,Cs
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/55d05597-1004-41db-8609-34811c3e3711_size1,durand,Ac
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/64a633c9-d15e-4282-9c33-a9be101dbb69_size2,durand,Ns
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/64a633c9-d15e-4282-9c33-a9be101dbb69_size2,durand,Sc
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/64a633c9-d15e-4282-9c33-a9be101dbb69_size2,durand,As
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/64a633c9-d15e-4282-9c33-a9be101dbb69_size2,durand,St
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/64a633c9-d15e-4282-9c33-a9be101dbb69_size2,durand,Cs
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/64a633c9-d15e-4282-9c33-a9be101dbb69_size2,durand,Ac
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/d9e82ca1-832a-4311-befc-2f9e4f8ad8e7_size1,durand,Ns
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/d9e82ca1-832a-4311-befc-2f9e4f8ad8e7_size1,durand,Sc
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/d9e82ca1-832a-4311-befc-2f9e4f8ad8e7_size1,durand,As
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/d9e82ca1-832a-4311-befc-2f9e4f8ad8e7_size1,durand,St
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/d9e82ca1-832a-4311-befc-2f9e4f8ad8e7_size1,durand,Cs
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/d9e82ca1-832a-4311-befc-2f9e4f8ad8e7_size1,durand,Ac
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/993283bb-8e83-498c-9252-98258520cab1_size2,durand,Ns
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/993283bb-8e83-498c-9252-98258520cab1_size2,durand,Sc
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/993283bb-8e83-498c-9252-98258520cab1_size2,durand,As
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/993283bb-8e83-498c-9252-98258520cab1_size2,durand,St
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/993283bb-8e83-498c-9252-98258520cab1_size2,durand,Cs
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/993283bb-8e83-498c-9252-98258520cab1_size2,durand,Ac
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/727e0681-8478-4d06-a157-9251cf77b81b_size1,durand,Ns
